Log name,Algorithm,TP,FP,TN,FN,F1-PDC,F1,BAC,MCC,Training Fitness,Size,Density,Separability,Co-Separability,Constraint Variability,#Relations,#Nestings,#InNActivities,#Activities,Runtime
pdc2022_1101100.xes,config 0,,,,,,,,,,81,5.230769230769231,0.012345679012345678,0.012345679012345734,0.6384510221121135,68,0,0,13,0.02708292007446289
pdc2022_1101100.xes,config 1,,,,,,,,,,65,3.2666666666666666,0.03076923076923077,0.03076923076923077,0.7151485327986884,49,3,6,16,0.029246091842651367
pdc2022_1101100.xes,config 2,,,,,,,,,,46,1.5384615384615385,0.08695652173913043,0.08695652173913038,0.9709505944546686,25,8,17,21,0.04131293296813965
pdc2022_1101100.xes,config 3,,,,,,,,,,53,1.6,0.03773584905660377,0.037735849056603765,0.7871203566965332,32,8,16,21,0.029718399047851562
pdc2022_0101002.xes,config 0,,,,,,,,,,84,5.833333333333333,0.023809523809523808,0.023809523809523836,0.2552421131901918,71,0,0,13,0.026055574417114258
pdc2022_0101002.xes,config 1,,,,,,,,,,49,2.6153846153846154,0.04081632653061224,0.04081632653061229,0.4305518670104394,35,1,5,14,0.027549028396606445
pdc2022_0101002.xes,config 2,,,,,,,,,,35,1.875,0.2857142857142857,0.2857142857142857,0.35335933502142136,18,4,12,17,0.04018735885620117
pdc2022_0101002.xes,config 3,,,,,,,,,,32,1.1666666666666667,0.375,0.375,0.5916727785823275,14,5,14,18,0.03020000457763672
pdc2022_0210003.xes,config 0,,,,,,,,,,85,4.0,0.011764705882352941,0.0117647058823529,0.2608629096472068,68,0,0,17,0.2717299461364746
pdc2022_0210003.xes,config 1,,,,,,,,,,58,2.375,0.06896551724137931,0.06896551724137934,0.3984592740952357,39,2,7,19,0.05068159103393555
pdc2022_0210003.xes,config 2,,,,,,,,,,42,1.7777777777777777,0.2857142857142857,0.2857142857142857,0.6962122601251459,20,5,19,22,0.07488369941711426
pdc2022_0210003.xes,config 3,,,,,,,,,,42,1.375,0.3333333333333333,0.33333333333333326,1.0,18,7,20,24,0.05086493492126465
pdc2022_0111100.xes,config 0,,,,,,,,,,88,5.769230769230769,0.011363636363636364,0.011363636363636354,0.5619072594695239,75,0,0,13,0.02682209014892578
pdc2022_0111100.xes,config 1,,,,,,,,,,49,2.5,0.02040816326530612,0.020408163265306145,0.7456447195658771,35,1,5,14,0.027828216552734375
pdc2022_0111100.xes,config 2,,,,,,,,,,45,1.7142857142857142,0.13333333333333333,0.1333333333333333,0.7500000000000001,26,6,14,19,0.05354189872741699
pdc2022_0111100.xes,config 3,,,,,,,,,,41,1.4285714285714286,0.14634146341463414,0.14634146341463417,0.8433426540429226,22,6,14,19,0.029784202575683594
pdc2022_1111013.xes,config 0,,,,,,,,,,37,3.5714285714285716,0.13513513513513514,0.1351351351351351,-0.0,26,0,0,11,0.027922391891479492
pdc2022_1111013.xes,config 1,,,,,,,,,,28,1.7142857142857142,0.25,0.25,-0.0,15,2,5,13,0.027234554290771484
pdc2022_1111013.xes,config 2,,,,,,,,,,26,1.0,0.4230769230769231,0.42307692307692313,-0.0,11,4,8,15,0.04307270050048828
pdc2022_1111013.xes,config 3,,,,,,,,,,27,1.2,0.3333333333333333,0.33333333333333326,-0.0,12,4,8,15,0.028979778289794922
pdc2022_1110011.xes,config 0,,,,,,,,,,42,2.4166666666666665,0.047619047619047616,0.04761904761904767,0.2719413038348006,29,0,0,13,0.02914905548095703
pdc2022_1110011.xes,config 1,,,,,,,,,,42,2.4166666666666665,0.047619047619047616,0.04761904761904767,0.2719413038348006,29,0,0,13,0.031005382537841797
pdc2022_1110011.xes,config 2,,,,,,,,,,33,1.1,0.15151515151515152,0.1515151515151515,0.5462947022805018,16,4,9,17,0.043997764587402344
pdc2022_1110011.xes,config 3,,,,,,,,,,33,1.1,0.15151515151515152,0.1515151515151515,0.5462947022805018,16,4,9,17,0.031548261642456055
